TABLE:  Beam Object Connectivity,,,,,,
Unique Name,Story,BeamBay,UniquePtI,UniquePtJ,Length,GUID
,,,,,ft,
81,Story4,B1,2,10,24,ff7bd4ad-65d5-4952-b53e-7daeeb296714
82,Story4,B2,10,18,24,1dfe468b-cd65-4e64-b681-a06dbe6f88d0
83,Story4,B3,18,26,24,368d4a15-d21d-4f58-8e18-2fe9585ab345
84,Story4,B4,26,34,24,e3abcb23-4ee9-431d-9920-c9339c9e0326
85,Story4,B5,4,12,24,3aaa83d4-fe31-4b62-bdb5-181895ea7ceb
86,Story4,B6,12,20,24,a794a458-d6d0-4ab8-a4ba-313e5bba6d84
87,Story4,B7,20,28,24,ecf5e5c9-d8f8-417e-9d85-45d59b058a41
88,Story4,B8,28,36,24,6c3c1501-40a6-4968-82a6-daee77c9718b
89,Story4,B9,6,14,24,4591af89-68c0-4b77-af31-cea8e706a6d4
90,Story4,B10,14,22,24,f42ab866-2fcc-4e7d-87fd-3a15ebe0e462
91,Story4,B11,22,30,24,26f1f8eb-36e5-4567-9673-9f52befffea4
92,Story4,B12,30,38,24,989ea0a6-4eea-4ea0-bc32-f08e31fc7a2e
93,Story4,B13,8,16,24,9a5a238d-ff63-4195-94ee-d5af359b8ca0
94,Story4,B14,16,24,24,70caf224-2bfa-49a8-8807-abc64dc1df11
95,Story4,B15,24,32,24,4e2393de-d5a3-4ff3-bb42-345c3dedf644
96,Story4,B16,32,40,24,4a7ac07f-8327-47db-af28-66b8db3ca9a7
97,Story4,B17,2,4,24,ec3c9c79-3113-415e-bef7-8b8552327130
98,Story4,B18,4,6,24,0828d0a8-94d5-44b7-809d-2f566e150cca
99,Story4,B19,6,8,24,3da1c1ef-b782-4cc3-be1c-7c00723e6a4c
100,Story4,B20,10,12,24,4b860cc7-5414-46fc-8a73-b1939c375bf8
101,Story4,B21,12,14,24,cfbdce66-7673-4cc8-a45c-9f54165ae1c5
102,Story4,B22,14,16,24,782a523c-d616-49a9-85e0-d8c89dad444b
103,Story4,B23,18,20,24,6738d481-c60b-4562-a478-939436078f56
104,Story4,B24,20,22,24,b0ab0ca6-f45a-407d-83d7-7b5f063e5867
105,Story4,B25,22,24,24,898ef9c5-e6c4-481a-aece-4bf006824780
106,Story4,B26,26,28,24,999bb987-07c8-4ac8-a2e3-80332b54a60e
107,Story4,B27,28,30,24,fe186609-7aef-4d66-ae8c-5ec2230f2abc
108,Story4,B28,30,32,24,374cd2c8-c76e-4e5a-9040-ff7c46f7f32d
109,Story4,B29,34,36,24,0e954770-8524-4283-8550-aafbd3eac2e0
110,Story4,B30,36,38,24,1bb61639-c1ad-472d-8cb8-b47db2990621
111,Story4,B31,38,40,24,2f9b61b1-fc6d-44b4-bff4-f31e47f3fb26
112,Story3,B1,1,9,24,c9289e7b-749c-47a2-a15e-1517454dc09c
113,Story3,B2,9,17,24,136d2688-714d-4f2d-9101-d8739b4d677f
114,Story3,B3,17,25,24,6aaf041a-19e5-428b-b854-076dc01fd109
115,Story3,B4,25,33,24,ecde78ff-318b-422b-ab13-3a2d62b90e48
116,Story3,B5,3,11,24,9d4f7d09-18f7-4796-8f9b-026b17f573f4
117,Story3,B6,11,19,24,7e17497b-feb9-4ebe-a11e-7364ae662821
118,Story3,B7,19,27,24,f932dd3b-a726-4365-8864-b1b02b65e0cd
119,Story3,B8,27,35,24,500ad3c7-67c0-490d-af32-3b8ca143bf0f
120,Story3,B9,5,13,24,0a87a0ff-c6b6-4843-9c21-3caff4fe97be
121,Story3,B10,13,21,24,675a48cd-61f1-4cf3-bd2d-b53aab3979ff
122,Story3,B11,21,29,24,adbb2110-dc4b-4fdb-a4d0-495d3071a837
123,Story3,B12,29,37,24,c040a161-7bf8-43d1-b35c-ead7fd948e91
124,Story3,B13,7,15,24,398aadc9-3948-4bab-a24a-5ddb1e0fb4e9
125,Story3,B14,15,23,24,e8aeed3e-87b3-4944-8177-5d817c413b61
126,Story3,B15,23,31,24,401cd879-b42d-42dd-b958-596f10854d42
127,Story3,B16,31,39,24,721b0612-bd34-4d88-9fc8-afad3d6bed0e
128,Story3,B17,1,3,24,141435ad-0c33-402e-98c7-feecf89fe9e4
129,Story3,B18,3,5,24,ee061bb7-fd03-469e-9692-e83dd287dc36
130,Story3,B19,5,7,24,3de3964d-4588-4615-9945-d30868106df0
131,Story3,B20,9,11,24,4e859e82-14b8-4da2-9ed2-fae225348092
132,Story3,B21,11,13,24,508f8a3c-7dce-42a3-b9a3-73e23c7d5219
133,Story3,B22,13,15,24,0237335b-cbe9-4ce0-8c7d-c6c76a11eb83
134,Story3,B23,17,19,24,032067e8-1d23-42b7-8793-821d9661c01b
135,Story3,B24,19,21,24,080373a6-4413-4889-955e-873913b3d47b
136,Story3,B25,21,23,24,7f3d1cd8-b286-4901-8038-70c06bbc934d
137,Story3,B26,25,27,24,ec3a38f8-65d7-45ee-95de-02696ebb5d00
138,Story3,B27,27,29,24,fc035e1c-cbd9-4bed-8b0c-38e9be6c40c2
139,Story3,B28,29,31,24,7b7c3c04-47c3-461e-b2c9-3f35842044d8
140,Story3,B29,33,35,24,6a55b292-4bd9-4570-854d-67eeba61aff2
141,Story3,B30,35,37,24,b7ead99b-c6cd-4b36-b730-a15f498c94c3
142,Story3,B31,37,39,24,8a2d6162-feb1-423f-99a0-c980673f094d
143,Story2,B1,41,45,24,533b9889-bcf3-4481-9e91-5b12d93a9cfe
144,Story2,B2,45,49,24,8c46946d-ee51-491a-8e6d-e812bb61b2d8
145,Story2,B3,49,53,24,d585bc57-55c4-4a71-8ca6-ce1473b7e832
146,Story2,B4,53,57,24,004f1262-6122-4e1b-b232-1756ec025691
147,Story2,B5,42,46,24,f4712f57-41bb-413a-93c6-27eb8ecabc43
148,Story2,B6,46,50,24,0fc25c69-d2af-40b1-8d4a-2eac3945333b
149,Story2,B7,50,54,24,502f6086-1e4b-484d-b757-050bbed036cc
150,Story2,B8,54,58,24,bb42eccf-cfa4-4e77-b6e3-953203254a3d
151,Story2,B9,43,47,24,6e29b8cf-958c-4912-93e0-229af29fd390
152,Story2,B10,47,51,24,7eccaf20-e6ad-4fbf-b9e9-4a850b9f8b33
153,Story2,B11,51,55,24,5a01d921-dbd4-48e6-902d-8502fa6bcda2
154,Story2,B12,55,59,24,42056fab-dfa1-4b5a-8d0c-09d592f36b79
155,Story2,B13,44,48,24,ad9645e0-dc64-4337-abec-c1e67082ff44
156,Story2,B14,48,52,24,0983d238-d34b-4238-874b-68b7814acb51
157,Story2,B15,52,56,24,4636fcdf-18e9-464e-a7db-bae12f5e3886
